순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,N (N),6,N,Y,0.7697,0.7291,2,O, 
1,12,N (N),6,N,Y,0.7697,0.7291,2,O, 
2,10,N (N),6,N,Y,0.8355,0.7708,2,O, 
3,10,N (N),6,N,Y,0.8092,0.7291,2,O, 
4,10,N (N),6,N,Y,0.7960,0.7708,2,O, 
5,10,N (N),6,N,Y,0.7828,0.8541,2,O, 
6,10,N (N),6,N,Y,0.7828,0.7291,2,O, 
7,10,N (N),6,N,Y,0.7697,0.7291,2,O, 
8,6,N (N),6,N,Y,0.7697,1.0000,2,O, 
9,5,N (N),6,N,Y,0.7697,0.8541,2,O, 
10,3,N (N),6,N,Y,0.7828,0.7291,2,O, 
11,2,N (N),6,N,Y,0.7697,0.7291,2,O, 
12,1,N (N),6,N,Y,1.0000,0.2500,2,O, 
13,1,N (N),6,N,Y,0.8618,0.7916,2,O, 
14,1,N (N),6,N,Y,0.8223,0.6458,2,O, 
15,1,N (N),6,N,Y,0.7960,0.7708,2,O, 
16,1,N (N),6,N,Y,0.7960,0.7708,2,O, 
17,1,N (N),6,N,Y,0.7960,0.6458,2,O, 
18,1,N (N),6,N,Y,0.7960,0.6458,2,O, 
19,1,N (N),6,N,Y,0.7960,0.6458,2,O, 
20,1,N (N),6,N,Y,0.7828,0.9791,2,O, 
21,1,N (N),6,N,Y,0.7828,0.8958,2,O, 
22,1,N (N),6,N,Y,0.7828,0.8541,2,O, 
23,1,N (N),6,N,Y,0.7828,0.7708,2,O, 
24,1,N (N),6,N,Y,0.7828,0.7708,2,O, 
25,1,N (N),6,N,Y,0.7828,0.7708,2,O, 
26,1,N (N),6,N,Y,0.7828,0.7708,2,O, 
27,1,N (N),6,N,Y,0.7828,0.7291,2,O, 
28,1,N (N),6,N,Y,0.7828,0.7291,2,O, 
29,1,N (N),6,N,Y,0.7828,0.7291,2,O, 
30,1,N (N),6,N,Y,0.7828,0.6458,2,O, 
31,1,N (N),6,N,Y,0.7828,0.6458,2,O, 
32,1,N (N),6,N,Y,0.7828,0.6458,2,O, 
33,1,N (N),6,N,Y,0.7828,0.6458,2,O, 
34,1,N (N),6,N,Y,0.7828,0.6458,2,O, 
35,1,N (N),6,N,Y,0.7828,0.6458,2,O, 
36,1,N (N),6,N,Y,0.7828,0.6458,2,O, 
37,1,N (N),6,N,Y,0.7697,0.8541,2,O, 
38,1,N (N),6,N,Y,0.7697,0.8541,2,O, 
39,1,N (N),6,N,Y,0.7697,0.8541,2,O, 
40,1,N (N),6,N,Y,0.7697,0.7708,2,O, 
41,1,N (N),6,N,Y,0.7697,0.7500,2,O, 
42,1,N (N),6,N,Y,0.7697,0.7291,2,O, 
43,1,N (N),6,N,Y,0.7697,0.7291,2,O, 
44,1,N (N),6,N,Y,0.7697,0.7291,2,O, 
45,1,N (N),6,N,Y,0.7697,0.7291,2,O, 
46,1,N (N),6,N,Y,0.7697,0.7291,2,O, 
47,1,N (N),6,N,Y,0.7697,0.7291,2,O, 
48,1,N (N),6,N,Y,0.7697,0.7291,2,O, 
49,1,N (N),6,N,Y,0.7697,0.7291,2,O, 
50,1,N (N),6,N,Y,0.7697,0.7291,2,O, 
51,1,N (N),6,N,Y,0.7697,0.7291,2,O, 
52,1,N (N),6,N,Y,0.7697,0.7291,2,O, 
53,1,N (N),6,N,Y,0.7697,0.7291,2,O, 
54,1,N (N),6,N,Y,0.7697,0.7291,2,O, 
55,1,N (N),6,N,Y,0.7697,0.7291,2,O, 
56,1,N (N),6,N,Y,0.7697,0.7291,2,O, 
57,1,N (N),6,N,Y,0.7631,0.9791,2,O, 
58,1,N (N),6,N,Y,0.7631,0.7291,2,O, 
59,1,N (N),6,N,Y,0.6842,0.8333,2,O, 
