순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,8,N (N),6,N,Y,0.5526,0.7500,2,O, 
1,8,N (N),6,N,Y,0.5526,0.7500,2,O, 
2,7,N (N),6,N,Y,0.5921,0.8750,2,O, 
3,6,N (N),6,N,Y,0.5131,0.7500,2,O, 
4,2,N (N),6,N,Y,0.6315,1.0000,2,O, 
5,2,N (N),6,N,Y,0.5526,0.8750,2,O, 
6,2,N (N),6,N,Y,0.5526,0.7500,2,O, 
7,1,N (N),6,N,Y,0.6447,0.8750,2,O, 
8,1,N (N),6,N,Y,0.6315,1.0000,2,O, 
9,1,N (N),6,N,Y,0.6315,1.0000,2,O, 
10,1,N (N),6,N,Y,0.6315,1.0000,2,O, 
11,1,N (N),6,N,Y,0.6315,1.0000,2,O, 
12,1,N (N),6,N,Y,0.6315,1.0000,2,O, 
13,1,N (N),6,N,Y,0.6315,1.0000,2,O, 
14,1,N (N),6,N,Y,0.5921,0.9583,2,O, 
15,1,N (N),6,N,Y,0.5921,0.8750,2,O, 
16,1,N (N),6,N,Y,0.5921,0.8750,2,O, 
17,1,N (N),6,N,Y,0.5921,0.8750,2,O, 
18,1,N (N),6,N,Y,0.5921,0.8333,2,O, 
19,1,N (N),6,N,Y,0.5789,0.9583,2,O, 
20,1,N (N),6,N,Y,0.5789,0.8333,2,O, 
21,1,N (N),6,N,Y,0.5789,0.8333,2,O, 
22,1,N (N),6,N,Y,0.5789,0.8333,2,O, 
23,1,N (N),6,N,Y,0.5526,0.8750,2,O, 
24,1,N (N),6,N,Y,0.5526,0.8750,2,O, 
25,1,N (N),6,N,Y,0.5526,0.8333,2,O, 
26,1,N (N),6,N,Y,0.5526,0.7500,2,O, 
27,1,N (N),6,N,Y,0.5460,0.8750,2,O, 
28,1,N (N),6,N,Y,0.5263,0.8750,2,O, 
29,1,N (N),6,N,Y,0.5263,0.6250,2,O, 
30,1,N (N),6,N,Y,0.5000,0.7083,2,O, 
31,1,N (N),6,N,Y,0.4802,0.7083,2,O, 
