순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.4960,1.0000,3,O, 
1,36,Y (Y),6,N,Y,0.4960,1.0000,3,O, 
2,36,Y (Y),6,N,Y,0.2222,0.6111,2,O, 
3,35,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
4,31,Y (Y),6,N,Y,0.6626,0.6666,3,O, 
5,30,Y (Y),6,N,Y,0.7698,0.8333,4,O, 
6,30,Y (Y),6,N,Y,0.6666,1.0000,4,O, 
7,28,Y (Y),6,N,Y,0.5000,0.8611,3,O, 
8,28,Y (Y),5,N,Y,0.3531,0.6666,2,O, 
9,27,Y (Y),6,N,Y,0.3015,1.0000,2,O, 
10,27,Y (Y),5,N,Y,0.8492,0.9473,4,O, 
11,26,Y (Y),6,N,Y,0.2777,0.7222,2,O, 
12,25,Y (Y),6,N,Y,0.7539,0.8333,4,O, 
13,25,Y (Y),6,N,Y,0.4642,0.9722,2,O, 
14,25,Y (Y),4,N,Y,0.7619,0.6666,4,O, 
15,24,Y (Y),6,N,Y,0.7380,1.0000,4,O, 
16,24,Y (Y),6,N,Y,0.5000,0.8750,3,O, 
17,24,Y (Y),6,N,Y,0.2777,0.9444,2,O, 
18,23,Y (Y),6,N,Y,0.2777,1.0000,2,O, 
19,22,Y (Y),6,N,Y,0.3174,1.0000,2,X, 
20,22,Y (Y),5,Y,Y,0.7777,1.0000,4,X, 
21,21,Y (Y),5,N,Y,0.4761,0.8611,4,X, 
22,20,Y (Y),6,N,Y,0.5238,1.0000,3,X, 
23,19,Y (Y),6,N,Y,0.3333,1.0000,2,X, 
24,19,Y (Y),6,N,Y,0.2619,0.8333,2,X, 
25,19,Y (Y),5,N,Y,0.2777,0.9444,2,X, 
26,15,Y (Y),3,Y,Y,1.0000,0.8888,4,X, 
27,14,Y (Y),6,N,Y,0.8015,0.9473,4,X, 
28,14,Y (Y),5,Y,Y,0.8888,0.8333,4,X, 
29,13,Y (Y),5,N,Y,0.4841,0.8611,3,X, 
30,10,Y (Y),6,N,Y,0.3333,0.6315,3,X, 
31,10,Y (Y),5,Y,Y,0.8095,1.0000,4,X, 
