순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,20,N (N),5,N,Y,0.5000,0.9722,3,O, 
1,20,N (N),5,N,Y,0.5000,0.9722,3,O, 
2,18,N (N),6,N,Y,0.3500,0.8157,2,O, 
3,12,N (N),6,N,Y,0.9484,0.9473,4,O, 
4,10,N (N),6,N,Y,0.7777,0.7894,4,O, 
5,6,N (N),6,N,Y,0.8428,1.0000,4,O, 
6,3,N (N),6,Y,Y,0.8857,0.6315,4,O, 
7,3,N (N),4,N,Y,0.7925,0.7368,4,O, 
8,2,N (N),6,Y,Y,0.9357,0.7894,4,O, 
9,2,N (N),6,Y,Y,0.8412,0.8333,4,O, 
10,1,N (N),6,Y,Y,1.0000,1.0000,4,O, 
11,1,N (N),6,Y,Y,0.9500,0.9473,4,O, 
12,1,N (N),6,Y,Y,0.9500,0.9473,4,O, 
13,1,N (N),6,Y,Y,0.9037,0.9473,4,O, 
14,1,N (N),6,N,Y,0.8412,1.0000,4,O, 
15,1,N (N),6,N,Y,0.7857,0.9473,4,O, 
16,1,N (N),6,N,Y,0.7380,0.8333,3,O, 
17,1,N (N),6,N,Y,0.6031,0.9375,2,O, 
18,1,N (N),6,N,Y,0.4892,0.9473,3,O, 
19,1,N (N),6,N,Y,0.4785,0.9473,3,O, 
20,1,N (N),6,N,Y,0.4484,1.0000,2,O, 
21,1,N (N),6,N,Y,0.4250,1.0000,2,O, 
22,1,N (N),6,N,Y,0.4111,1.0000,2,O, 
23,1,N (N),6,N,Y,0.4107,0.8684,2,O, 
24,1,N (N),6,N,Y,0.4035,0.9736,2,O, 
25,1,N (N),6,N,Y,0.4035,0.9736,2,O, 
26,1,N (N),5,Y,Y,0.9071,1.0000,4,O, 
27,1,N (N),5,Y,Y,0.9071,1.0000,4,O, 
28,1,N (N),5,N,Y,0.5000,0.9210,3,O, 
29,1,N (N),5,N,Y,0.4107,0.9736,2,O, 
