순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),6,N,Y,0.7333,0.9473,4,O, 
1,36,N (N),6,N,Y,0.7333,0.9473,4,O, 
2,36,N (N),6,N,Y,0.2301,1.0000,2,O, 
3,31,N (N),6,N,Y,0.2444,0.8947,2,O, 
4,31,N (N),3,Y,Y,0.9365,1.0000,4,O, 
5,28,N (N),6,N,Y,0.2460,0.7222,2,O, 
6,28,N (N),4,N,Y,0.0833,0.4166,2,O, 
7,27,N (N),6,N,Y,0.4246,1.0000,2,O, 
8,26,N (N),6,N,Y,0.6571,0.9473,3,O, 
9,26,N (N),6,N,Y,0.5238,1.0000,3,O, 
10,26,N (N),6,N,Y,0.4246,0.8611,2,O, 
11,26,N (N),6,N,Y,0.4087,0.9166,2,X, 
12,26,N (N),6,N,Y,0.2666,1.0000,2,X, 
13,26,N (N),6,N,Y,0.0158,0.1111,2,X, 
14,26,N (N),5,N,Y,0.2666,1.0000,2,X, 
15,25,N (N),6,N,Y,0.7380,1.0000,3,O, 
16,25,N (N),6,N,Y,0.4603,0.8333,3,O, 
17,25,N (N),6,N,Y,0.2259,0.6315,2,X, 
18,25,N (N),5,N,Y,0.6428,0.8611,3,O, 
19,23,N (N),6,N,Y,0.2357,0.7368,2,X, 
20,22,N (N),5,Y,Y,0.9365,0.8888,4,O, 
21,21,N (N),5,N,Y,0.3849,0.8611,2,X, 
22,20,N (N),6,Y,Y,0.8650,0.6666,4,O, 
23,19,N (N),6,N,Y,0.1642,0.7368,2,X, 
24,18,N (N),5,Y,Y,0.8814,1.0000,4,O, 
25,18,N (N),4,N,Y,0.3412,0.7500,2,X, 
26,16,N (N),6,N,Y,0.7333,0.9736,4,O, 
27,8,N (N),6,Y,Y,0.8571,1.0000,4,X, 
28,5,N (N),6,Y,Y,1.0000,0.5000,4,X, 
29,2,N (N),6,N,Y,0.2571,0.8421,2,X, 
30,1,N (N),6,Y,Y,1.0000,0.4736,4,X, 
31,1,N (N),6,N,Y,0.9777,0.8947,4,X, 
32,1,N (N),6,N,Y,0.4325,0.9166,2,X, 
