순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,22,Y (Y),6,N,Y,0.4960,0.9736,2,O, 
1,22,Y (Y),6,N,Y,0.4960,0.9736,2,O, 
2,20,Y (Y),6,N,N,0.6904,0.9473,3,O, 
3,15,Y (Y),6,N,Y,0.4484,0.8157,2,O, 
4,14,Y (Y),6,N,Y,0.6666,0.9736,3,O, 
5,11,Y (Y),6,N,Y,0.4563,0.8684,2,O, 
6,10,Y (Y),6,N,Y,0.4246,0.8157,2,O, 
7,10,Y (Y),5,N,Y,0.4682,0.7894,3,O, 
8,6,Y (Y),6,N,Y,0.6190,0.6315,3,O, 
9,5,Y (Y),6,N,Y,0.4563,1.0000,2,O, 
10,5,Y (Y),6,N,Y,0.4246,0.9736,2,O, 
11,4,Y (Y),6,N,Y,0.4325,0.8684,2,O, 
12,3,Y (Y),6,N,Y,0.6349,0.7894,3,O, 
13,3,Y (Y),6,N,Y,0.4722,0.8157,2,O, 
14,3,Y (Y),6,N,Y,0.4325,0.9210,2,O, 
15,3,Y (Y),6,N,Y,0.3531,0.8157,2,O, 
16,3,Y (Y),4,N,Y,0.3373,0.8157,2,O, 
17,2,Y (Y),6,Y,N,0.9603,0.9473,4,O, 
18,2,Y (Y),6,N,Y,0.6388,0.8947,3,O, 
19,2,Y (Y),6,N,Y,0.4563,0.8684,2,O, 
20,2,Y (Y),6,N,Y,0.4246,0.9736,2,O, 
21,2,Y (Y),6,N,Y,0.4246,0.7105,2,O, 
22,2,Y (Y),6,N,Y,0.4206,0.9736,2,O, 
23,2,Y (Y),6,N,Y,0.3928,0.7631,2,O, 
24,2,Y (Y),6,N,Y,0.3809,0.7631,2,O, 
25,2,Y (Y),5,N,Y,0.4444,0.9736,2,O, 
26,1,Y (Y),6,N,Y,0.6428,0.7894,3,O, 
27,1,Y (Y),6,N,Y,0.4087,0.8684,2,O, 
28,1,Y (Y),5,N,Y,0.3968,0.8684,2,X, 
