순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),6,N,Y,0.9047,1.0000,4,O, 
1,36,Y (Y),6,N,Y,0.9047,1.0000,4,O, 
2,36,Y (Y),5,Y,Y,0.9285,1.0000,4,O, 
3,35,Y (Y),5,N,Y,0.8809,1.0000,4,O, 
4,30,Y (Y),6,N,Y,0.6904,0.8333,3,O, 
5,30,Y (Y),4,N,Y,0.4960,0.6666,3,O, 
6,27,Y (Y),6,N,Y,0.7619,0.8333,4,O, 
7,26,Y (Y),6,N,Y,0.4087,0.8611,2,O, 
8,26,Y (Y),6,N,Y,0.3928,1.0000,3,O, 
9,25,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
10,25,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
11,25,Y (Y),6,N,Y,0.3928,0.8611,2,O, 
12,24,Y (Y),6,N,Y,0.4365,1.0000,2,O, 
13,24,Y (Y),6,N,Y,0.4285,0.8611,2,O, 
14,22,Y (Y),6,N,Y,0.8253,0.8333,4,O, 
15,22,Y (Y),4,Y,Y,0.9047,0.8333,4,O, 
16,20,Y (Y),6,N,Y,0.7341,1.0000,4,O, 
17,20,Y (Y),6,N,Y,0.7142,0.9473,3,O, 
18,20,Y (Y),6,N,Y,0.3730,0.8333,2,O, 
19,20,Y (Y),5,N,Y,0.3928,0.8611,2,O, 
20,19,Y (Y),5,N,Y,0.3412,1.0000,2,X, 
21,19,Y (Y),4,N,Y,0.2619,0.8333,2,X, 
22,18,Y (Y),5,N,Y,0.8531,0.8333,4,X, 
23,17,Y (Y),6,N,Y,0.7301,0.8333,4,X, 
24,16,Y (Y),5,N,Y,0.3055,0.7222,3,X, 
25,14,Y (Y),6,N,Y,0.3253,0.8333,2,X, 
26,8,Y (Y),6,N,Y,0.7460,0.8888,4,X, 
0,12,Y (Y),5,N,Y,0.7500,0.8750,4,O,* 
