순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,Y (Y),1,Y,Y,1.0000,0.7894,4,O, 
1,36,Y (Y),1,Y,Y,1.0000,0.7894,4,O, 
2,1,Y (Y),6,Y,Y,1.0000,1.0000,4,O, 
3,1,Y (Y),6,Y,Y,0.8928,0.9473,4,O, 
4,1,Y (Y),6,Y,Y,0.8785,1.0000,4,O, 
5,1,Y (Y),6,N,Y,0.8571,1.0000,4,O, 
6,1,Y (Y),6,N,Y,0.8571,0.9473,4,O, 
7,1,Y (Y),6,N,Y,0.8492,1.0000,4,O, 
8,1,Y (Y),6,N,Y,0.8071,1.0000,4,O, 
9,1,Y (Y),6,N,Y,0.8000,1.0000,4,O, 
10,1,Y (Y),6,N,Y,0.7714,0.7894,4,O, 
11,1,Y (Y),6,N,Y,0.7071,0.9473,3,O, 
12,1,Y (Y),6,N,Y,0.6285,0.8421,3,O, 
13,1,Y (Y),5,N,Y,0.6962,0.7894,4,O, 
