순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,35,N (N),2,N,Y,0.9761,0.8333,4,O, 
1,35,N (N),2,N,Y,0.9761,0.8333,4,O, 
2,20,N (N),6,Y,Y,1.0000,0.9444,4,O, 
3,20,N (N),5,N,Y,0.9126,0.7777,4,O, 
4,20,N (N),4,Y,Y,0.9111,0.8421,4,O, 
5,12,N (N),6,N,Y,0.7481,0.6666,4,O, 
6,6,N (N),6,N,Y,0.5148,0.6842,3,O, 
7,5,N (N),6,N,Y,0.6507,1.0000,3,O, 
8,5,N (N),6,N,Y,0.6444,0.8333,3,O, 
9,5,N (N),6,N,Y,0.3174,1.0000,2,O, 
10,3,N (N),6,N,Y,0.8333,1.0000,4,O, 
11,1,N (N),6,Y,Y,0.8015,0.8333,4,O, 
12,1,N (N),6,N,Y,1.0000,1.0000,4,O, 
13,1,N (N),6,N,Y,0.9761,1.0000,4,O, 
14,1,N (N),6,N,Y,0.8000,0.8333,4,O, 
15,1,N (N),6,N,Y,0.7703,0.9473,4,O, 
16,1,N (N),6,N,Y,0.6904,1.0000,3,O, 
17,1,N (N),6,N,Y,0.5793,1.0000,3,O, 
18,1,N (N),6,N,Y,0.5518,0.5263,3,O, 
19,1,N (N),6,N,Y,0.4285,0.6666,3,O, 
20,1,N (N),6,N,Y,0.3592,0.7631,2,O, 
21,1,N (N),6,N,Y,0.3253,1.0000,2,O, 
22,1,N (N),6,N,Y,0.3095,1.0000,2,O, 
23,1,N (N),6,N,Y,0.2857,1.0000,2,O, 
