순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),3,N,Y,0.5000,0.8750,3,O, 
1,36,N (N),3,N,Y,0.5000,0.8750,3,O, 
2,35,N (N),3,N,Y,0.7500,0.8750,4,O, 
3,30,N (N),3,N,Y,0.5000,0.9375,3,O, 
4,28,N (N),4,N,Y,0.7500,0.8750,4,O, 
5,25,N (N),4,N,Y,0.7500,0.8750,4,O, 
6,23,N (N),4,N,Y,0.2500,0.8750,2,O, 
7,20,N (N),6,N,Y,0.2500,0.8750,2,O, 
8,20,N (N),5,N,Y,0.5000,0.8750,3,O, 
9,20,N (N),5,N,Y,0.2500,0.8750,2,O, 
10,20,N (N),4,N,Y,0.7500,0.8750,4,O, 
11,20,N (N),4,N,Y,0.7500,0.8750,4,O, 
12,18,N (N),5,N,Y,0.7500,0.8750,4,O, 
13,18,N (N),5,N,Y,0.5000,0.8750,3,O, 
14,18,N (N),5,N,Y,0.5000,0.8750,3,O, 
15,18,N (N),5,N,Y,0.5000,0.8750,3,O, 
16,18,N (N),4,N,Y,0.7500,0.8750,4,O, 
17,15,N (N),4,N,Y,0.7500,0.8750,4,O, 
18,13,N (N),5,N,Y,0.7500,0.8750,4,O, 
19,12,N (N),5,N,Y,0.7500,0.8750,4,O, 
20,10,N (N),6,N,Y,0.2500,0.8750,2,O, 
21,6,N (N),6,N,Y,0.7500,0.8750,4,O, 
22,4,N (N),6,N,Y,0.5000,0.8750,3,O, 
23,1,N (N),5,N,Y,0.2500,0.8750,2,O, 
24,1,N (N),3,N,Y,0.2500,0.8750,2,O, 
