순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,36,N (N),3,Y,N,1.0000,0.9473,4,O, 
1,36,N (N),3,Y,N,1.0000,0.9473,4,O, 
2,36,N (N),1,Y,Y,0.9851,0.9473,4,O, 
3,35,N (N),2,Y,Y,0.9714,0.7368,4,O, 
4,35,N (N),2,N,Y,1.0000,0.1666,4,O, 
5,25,N (N),3,N,Y,0.5476,1.0000,3,O, 
6,20,N (N),3,N,Y,0.9428,0.9473,4,O, 
7,18,N (N),3,Y,Y,0.9365,1.0000,4,O, 
8,13,N (N),6,N,Y,0.3412,1.0000,2,O, 
9,11,N (N),6,N,Y,0.3095,1.0000,2,O, 
10,8,N (N),6,N,Y,0.3492,0.6666,2,O, 
11,6,N (N),6,N,Y,0.2370,0.8421,2,O, 
12,5,N (N),5,N,Y,0.8962,0.7894,4,O, 
13,4,N (N),6,N,Y,0.2738,0.9444,2,O, 
14,3,N (N),6,N,Y,0.8214,0.9473,4,O, 
15,3,N (N),6,N,Y,0.7777,0.6666,4,O, 
16,2,N (N),6,N,Y,0.3174,1.0000,2,O, 
17,2,N (N),6,N,Y,0.2740,0.8947,2,O, 
18,2,N (N),6,N,Y,0.2301,0.9444,2,O, 
19,2,N (N),6,N,Y,0.2261,0.1388,2,O, 
20,1,N (N),6,Y,Y,1.0000,0.8421,4,O, 
21,1,N (N),6,N,Y,1.0000,0.0555,4,O, 
22,1,N (N),6,N,Y,0.7936,1.0000,4,O, 
23,1,N (N),6,N,Y,0.7142,1.0000,4,O, 
24,1,N (N),6,N,Y,0.2857,0.9444,2,O, 
25,1,N (N),6,N,Y,0.2698,0.7777,2,O, 
26,1,N (N),6,N,Y,0.2619,0.8888,2,O, 
27,1,N (N),6,N,Y,0.2370,0.8157,2,O, 
28,1,N (N),6,N,Y,0.2296,0.8947,2,O, 
29,1,N (N),4,Y,Y,1.0000,0.6666,4,O, 
