순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,16,Y (Y),6,N,Y,0.7500,1.0000,3,O, 
1,16,Y (Y),6,N,Y,0.7500,1.0000,3,O, 
2,6,Y (Y),6,N,Y,0.6714,1.0000,3,O, 
3,3,Y (Y),6,N,Y,0.7071,1.0000,3,O, 
4,1,Y (Y),6,N,Y,0.7571,1.0000,3,O, 
5,1,Y (Y),6,N,Y,0.7357,1.0000,3,O, 
6,1,Y (Y),6,N,Y,0.7357,1.0000,3,O, 
7,1,Y (Y),6,N,Y,0.7357,1.0000,3,O, 
8,1,Y (Y),6,N,Y,0.7357,1.0000,3,O, 
9,1,Y (Y),6,N,Y,0.7142,1.0000,3,O, 
10,1,Y (Y),6,N,Y,0.7142,1.0000,3,O, 
11,1,Y (Y),6,N,Y,0.7142,1.0000,3,O, 
12,1,Y (Y),6,N,Y,0.7000,1.0000,3,O, 
13,1,Y (Y),6,N,Y,0.6607,1.0000,3,O, 
14,1,Y (Y),6,N,Y,0.6500,0.8947,3,O, 
15,1,Y (Y),6,N,Y,0.6321,0.8421,3,O, 
16,1,Y (Y),6,N,Y,0.6107,0.9473,3,O, 
17,1,Y (Y),6,N,Y,0.5964,1.0000,3,O, 
18,1,Y (Y),6,N,Y,0.4928,0.8421,3,O, 
