순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,20,N (N),6,N,Y,0.5761,1.0000,5,O, 
1,20,N (N),6,N,Y,0.5761,1.0000,5,O, 
2,18,N (N),6,N,Y,0.5761,0.8750,5,O, 
3,16,N (N),6,N,Y,0.5761,1.0000,5,O, 
4,15,N (N),6,N,Y,0.5761,0.8750,5,O, 
5,10,N (N),6,N,Y,0.5761,0.8750,5,O, 
6,10,N (N),6,N,Y,0.5761,0.8750,5,O, 
7,3,N (N),6,N,Y,0.5761,0.8750,5,O, 
8,2,N (N),6,N,Y,0.5695,0.8750,5,O, 
9,1,N (N),6,N,Y,0.6092,1.0000,5,O, 
10,1,N (N),6,N,Y,0.5960,1.0000,5,O, 
11,1,N (N),6,N,Y,0.5960,0.8750,5,O, 
12,1,N (N),6,N,Y,0.5761,1.0000,5,O, 
13,1,N (N),6,N,Y,0.5761,1.0000,5,O, 
14,1,N (N),6,N,Y,0.5761,1.0000,5,O, 
15,1,N (N),6,N,Y,0.5761,1.0000,5,O, 
16,1,N (N),6,N,Y,0.5761,1.0000,5,O, 
17,1,N (N),6,N,Y,0.5761,0.9166,5,O, 
18,1,N (N),6,N,Y,0.5761,0.9166,5,O, 
19,1,N (N),6,N,Y,0.5761,0.9166,5,O, 
20,1,N (N),6,N,Y,0.5761,0.8750,5,O, 
21,1,N (N),6,N,Y,0.5761,0.8750,5,O, 
22,1,N (N),6,N,Y,0.5761,0.8750,5,O, 
23,1,N (N),6,N,Y,0.5761,0.8750,5,O, 
24,1,N (N),6,N,Y,0.5695,1.0000,5,O, 
25,1,N (N),6,N,Y,0.5695,1.0000,5,O, 
26,1,N (N),6,N,Y,0.5562,0.9166,5,O, 
