순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,12,Y (Y),6,Y,Y,0.9285,0.8333,4,O, 
1,12,Y (Y),6,Y,Y,0.9285,0.8333,4,O, 
2,12,Y (Y),6,Y,Y,0.8809,0.8611,4,O, 
3,12,Y (Y),6,Y,Y,0.7857,0.7222,4,O, 
4,12,Y (Y),6,N,Y,0.8888,1.0000,4,O, 
5,12,Y (Y),6,N,Y,0.8730,0.8333,4,O, 
6,12,Y (Y),6,N,Y,0.8730,0.8333,4,X, 
7,12,Y (Y),6,N,Y,0.8642,1.0000,4,X, 
8,12,Y (Y),6,N,Y,0.8492,0.8333,4,X, 
9,12,Y (Y),6,N,Y,0.8444,1.0000,4,X, 
10,12,Y (Y),6,N,Y,0.8373,1.0000,4,X, 
11,12,Y (Y),6,N,Y,0.8253,1.0000,4,X, 
12,12,Y (Y),6,N,Y,0.8174,1.0000,4,X, 
13,12,Y (Y),6,N,Y,0.8174,1.0000,3,O, 
14,12,Y (Y),6,N,Y,0.8095,1.0000,4,X, 
15,12,Y (Y),6,N,Y,0.7777,0.9166,4,X, 
16,12,Y (Y),6,N,Y,0.7698,0.8333,4,X, 
17,12,Y (Y),6,N,Y,0.7539,1.0000,3,O, 
18,12,Y (Y),6,N,Y,0.7539,1.0000,3,O, 
19,12,Y (Y),6,N,Y,0.7460,1.0000,4,X, 
20,12,Y (Y),6,N,Y,0.7380,0.8333,3,O, 
21,12,Y (Y),6,N,Y,0.7142,1.0000,3,O, 
22,12,Y (Y),6,N,Y,0.7142,0.8333,3,O, 
23,12,Y (Y),6,N,Y,0.6984,1.0000,3,O, 
24,12,Y (Y),6,N,Y,0.6944,1.0000,3,O, 
25,12,Y (Y),6,N,Y,0.6904,1.0000,3,O, 
26,12,Y (Y),6,N,Y,0.6825,1.0000,3,O, 
27,12,Y (Y),6,N,Y,0.6746,0.8888,4,X, 
28,12,Y (Y),6,N,Y,0.6706,0.9166,3,X, 
