순위,마일리지,전공자여부,신청과목수,졸업신청,초수강여부,총이수학점비율,직전학기이수학점비율,학년,수강여부,비고
1,32,Y (Y),6,N,Y,0.5357,0.9210,3,O, 
1,32,Y (Y),6,N,Y,0.5357,0.9210,3,O, 
2,20,Y (Y),6,N,Y,0.4928,0.9736,3,O, 
3,20,Y (Y),6,N,Y,0.3535,0.8157,3,O, 
4,19,Y (Y),6,N,Y,0.4357,0.7631,3,O, 
5,19,Y (Y),5,N,Y,0.8428,1.0000,4,O, 
6,10,Y (Y),6,N,Y,0.8642,0.8421,4,O, 
7,10,Y (Y),6,N,Y,0.5500,1.0000,3,O, 
8,3,Y (Y),6,N,Y,0.8214,0.9736,4,O, 
9,1,Y (Y),6,Y,Y,0.9357,1.0000,4,O, 
10,1,Y (Y),6,N,Y,0.8500,1.0000,4,O, 
11,1,Y (Y),6,N,Y,0.8428,1.0000,4,O, 
12,1,Y (Y),6,N,Y,0.8142,0.9473,4,O, 
13,1,Y (Y),6,N,Y,0.8071,1.0000,4,O, 
14,1,Y (Y),6,N,Y,0.7928,1.0000,4,O, 
15,1,Y (Y),6,N,Y,0.7928,0.9473,4,O, 
16,1,Y (Y),6,N,Y,0.7857,0.9473,4,O, 
17,1,Y (Y),6,N,Y,0.7642,1.0000,4,O, 
18,1,Y (Y),6,N,Y,0.6750,0.8421,4,O, 
19,1,Y (Y),6,N,Y,0.6071,0.8421,3,O, 
20,1,Y (Y),6,N,Y,0.5714,1.0000,3,O, 
21,1,Y (Y),6,N,Y,0.5357,0.9736,3,O, 
22,1,Y (Y),6,N,Y,0.4250,1.0000,2,O, 
23,1,Y (Y),6,N,Y,0.2821,1.0000,2,O, 
24,1,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
25,1,Y (Y),6,N,Y,0.2785,1.0000,2,O, 
26,1,Y (Y),6,N,Y,0.2678,1.0000,2,O, 
27,1,Y (Y),6,N,Y,0.2642,1.0000,2,O, 
28,1,Y (Y),6,N,Y,0.2642,0.9210,2,O, 
29,1,Y (Y),6,N,Y,0.2642,0.9210,2,O, 
30,1,Y (Y),6,N,Y,0.2571,1.0000,2,O, 
31,1,Y (Y),6,N,Y,0.2571,1.0000,2,O, 
32,1,Y (Y),5,N,Y,0.8000,1.0000,4,O, 
33,1,Y (Y),5,N,Y,0.5571,0.7368,4,O, 
